Material,Alias
biohazard,toxic
biohazard,biohazard
ceramic,pottery/ceramic
ceramic,concrete/pottery
ceramic,pottery/ceramics
ceramic,ceramic
cloth,rag/cloth
cloth,clothing
cloth,cloth
cloth,clothes/fabric
cloth,textile
cloth,fabric
cloth,fabric/cloth
cloth,naturalproducts/clothes
cloth,cloth/fabric
cloth,textiles
cloth,textiles/naturalfibers
cloth,cloth/textile
cloth,clothmaterials
faeces,animalfaeces
faeces,faeces
fibreglass,fibreglass
foam,foam
foam,polystyrene
foam,polystyrenefoam
foam,styrofoam
foam,styro.
foam,foamedplastic
glass,glass
glass/ceramic,glass&ceramicmaterials
glass/ceramic,glass/ceramic
glass/ceramic,glass/ceramics
glass/ceramic,glass&ceramic
hardplastics,hardplastics
metal,metals
metal,metalmaterials
metal,metal
leather,leather
food,food
organic,biodegradable
organic,organic
organic,organics
organic,organicitems
organic,organic matter
other,boat/ship/enginepart
other,miscellaneous
other,other
other,others
other,mixedmaterials
other,otheritems
other,cigarette
other,otherplastic
other,unidentified
paper,paper
paper/cardboard,paper/cardboardmaterials
paper/cardboard,paper/cardboard
paper/cardboard,paper/carton
plastic,plastic
plastic,plastics
plastic,plasticmaterials
plastic,plasticfragments
plastic,plastic/polystyrene
plastic,plastic/styrofoam
plastic,artificialpolymermaterials
rubber,rubbermaterials
rubber,rubber
sanitarywaste,sanitarywaste
sanitarywaste,personalhygiene
sanitarywaste,medicalwaste
sanitarywaste,sanitary
sanitarywaste,medical/personalhygiene
sanitarywaste,medical
softplastics,softplastics
vinyl,vinyl
wood,wood
wood,woodydebris
processedwood,processedwood
processedwood,man.wood
processedwood,lumber
processedwood,processedlumber
processedwood,wood(machined)
processedwood,woodmaterials
processedwood,timber
processedwood,processed/workedwood
processedwood,wood(machined)
woodandpaper,woodandpaper
woodandpaper,paper&lumber
concrete/asphalt,concrete/asphalt
PEST,PEST
"1,4-Polyisoprene (cis and trans)(Latex)","1,4-Polyisoprene (cis and trans)(Latex)"
ABS,ABS
ABS,Polyethersulfone
ABS,Acrylonitrile butadiene styrene
ABS,Acrylonitrile butadiene styrene (ABS)
Acrylic,Acrylic
AR,AR
Bisphenol A Polysulfone,Bisphenol A Polysulfone
Bisphenol-A diglycidyl ether epoxy resin,Bisphenol-A diglycidyl ether epoxy resin
Bisphenol-F diglycidyl ether epoxy resin,Bisphenol-F diglycidyl ether epoxy resin
CA,CA
CA,Cellulose acetate
CA,Cellulose
Cellophane,Cellophane
Cellulose Derivatives (Ether Cellulose),Cellulose Derivatives (Ether Cellulose)
Cellulose Nitrate,Cellulose Nitrate
cotton,cotton
